PROGRAM,CODE,COURSE,UNIT,TYPE,PREREQUISITE,LEVEL,SEMESTER
"BSIS, ACT",CC-IC 113,INTRODUCTION TO COMPUTING,3,TECH_SKILL,,1,1
"BSIS, ACT",CC-CP1 113,COMPUTER PROGRAMMING 1 (FUNDAMENTALS OF PROGRAMMING),3,TECH_SKILL,,1,1
"BSIS, ACT",IS-PQS 113,"PROFESSIONAL ETHICS, QUALITY CONCIOUSNESS AND SOCIAL ISSUES IN COMPUTING",3,TECH_SKILL,,1,1
"BSIS, ACT",GE-MMW 113,MATHEMATICS IN THE MODERN WORLD,3,GEN_ED,,1,1
"BSIS, ACT",GE-PCOM 113,PURPOSIVE COMMUNICATION,3,GEN_ED,,1,1
"BSIS, ACT",GE-UNO 113,UNDERSTANDING ONESELF,3,GEN_ED,,1,1
"BSIS, ACT",PE 112,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1),2,GEN_ED,,1,1
"BSIS, ACT",NSTP 113,NATIONAL SERVICE TRAINING PROGRAM 1,3,GEN_ED,,1,1
"BSIS, ACT",IS-FIS 123,FUNDAMENTALS OF INFORMATION SYSTEMS,3,TECH_SKILL,,1,2
"BSIS, ACT",CC-CP2 123,COMPUTER PROGRAMMING 2 (INTERMEDIATE PROGRAMMING),3,TECH_SKILL,,1,2
"BSIS, ACT",CT-OOP 123,OBJECT ORIENTED PROGRAMMING,3,TECH_SKILL,,1,2
"BSIS, ACT",AD-HCI 123,HUMAN COMPUTER INTERACTION,3,TECH_SKILL,,1,2
"BSIS, ACT",CT-WD 123,WEB DEVELOPMENT,3,TECH_SKILL,,1,2
"BSIS, ACT",GE-TCW 123,THE CONTEMPORARY WORLD,3,GEN_ED,,1,2
"BSIS, ACT",PE 122,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2),2,GEN_ED,,1,2
"BSIS, ACT",NSTP 123,NATIONAL SERVICE TRAINING PROGRAM 2,3,GEN_ED,,1,2
ACT,CC-IC 113,INTRODUCTION TO COMPUTING,3,TECH_SKILL,,1,1
