PROGRAM,CODE,COURSE,UNIT,TYPE,PREREQUISITE,LEVEL,SEMESTER
"BSIS, ACT",CC-IC 113,INTRODUCTION TO COMPUTING,3,TECH_SKILL,,1,1
"BSIS, ACT",CC-CP1 113,COMPUTER PROGRAMMING 1 (FUNDAMENTALS OF PROGRAMMING),3,TECH_SKILL,,1,1
"BSIS, ACT",IS-PQS 113,"PROFESSIONAL ETHICS, QUALITY CONCIOUSNESS AND SOCIAL ISSUES IN COMPUTING",3,TECH_SKILL,,1,1
"BSIS, ACT",GE-MMW 113,MATHEMATICS IN THE MODERN WORLD,3,GEN_ED,,1,1
"BSIS, ACT",GE-PCOM 113,PURPOSIVE COMMUNICATION,3,GEN_ED,,1,1
ACT,GE-HUM 223,ETHICS,3,GEN_ED,,1,1
"BSIS, ACT",GE-UNO 113,UNDERSTANDING ONESELF,3,GEN_ED,,1,1
"BSIS, ACT",PE 112,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1),2,GEN_ED,,1,1
"BSIS, ACT",NSTP 113,NATIONAL SERVICE TRAINING PROGRAM 1,3,GEN_ED,,1,1
"BSIS, ACT",IS-FIS 123,FUNDAMENTALS OF INFORMATION SYSTEMS,3,TECH_SKILL,,1,2
"BSIS, ACT",CC-CP2 123,COMPUTER PROGRAMMING 2 (INTERMEDIATE PROGRAMMING),3,TECH_SKILL,,1,2
"BSIS, ACT",CT-OOP 123,OBJECT ORIENTED PROGRAMMING,3,TECH_SKILL,,1,2
"BSIS, ACT",AD-HCI 123,HUMAN COMPUTER INTERACTION,3,TECH_SKILL,,1,2
"BSIS, ACT",CT-WD 123,WEB DEVELOPMENT,3,TECH_SKILL,,1,2
"BSIS, ACT",GE-TCW 123,THE CONTEMPORARY WORLD,3,GEN_ED,,1,2
"BSIS, ACT",PE 122,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2),2,GEN_ED,,1,2
"BSIS, ACT",NSTP 123,NATIONAL SERVICE TRAINING PROGRAM 2,3,GEN_ED,,1,2
"BSIS, ACT",CC-DSA 213,DATA STRUCTURES AND ALGORITHMS,3,TECH_SKILL,,2,1
"BSIS, ACT",CC-IM 213,INFORMATION MANAGEMENT,3,TECH_SKILL,,2,1
"BSIS, ACT",IS-DCN 213,DATA COMMUNICATION AND NETWORKING,3,TECH_SKILL,,2,1
"BSIS, ACT",CT-MAD 213,MOBILE APPLICATION DEVELOPMENT,3,TECH_SKILL,,2,1
"BSIS, ACT",CT-WA 213,WEB APPLICATION,3,TECH_SKILL,,2,1
"BSIS, ACT",GE-RLW 213,RIZAL'S LIFE AND WORKS,3,GEN_ED,,2,1
"BSIS, ACT",GE-STS 213,"SCIENCE, TECHNOLOGY, AND SOCIETY (WITH INTEGRATION OF PEACE STUDIES)",3,GEN_ED,,2,1
"BSIS, ACT",PE 212,PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 3 - ARNIS (PATHFIT 3),2,GEN_ED,,2,1
ACT,CT-OJT226,INTERNSHIP/OJT/PRACTICUM - ACT (320 HOURS),3,CAP_OJT,,2,2
BSIS,IS-DMS 223,"DEPLOYMENT, MAINTENANCE, AND SERVICES",3,TECH_SKILL,,2,2
BSIS,DM-HRM 223,HUMAN RESOURCE MANAGEMENT,3,GEN_ED,,2,2
BSIS,AD-PT 223,PRINCIPLES OF TEACHING,3,GEN_ED,,2,2
BSIS,GE-HUM 223,ETHICS,3,GEN_ED,,2,2
BSIS,GE-SOC 223,GENERAL SOCIOLOGY (WITH GENDER AND DEVELOPMENT),3,GEN_ED,,2,2
BSIS,GE-SCI 223,ENVIRONMENTAL SCIENCE,3,GEN_ED,,2,2
"BSIS, ACT",CC-ADET 223,APPLICATION DEVELOPMENT & EMERGING TECHNOLOGIES,3,TECH_SKILL,,2,2
BSIS,PE 222,PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 4 - SPORTS (PATHFIT 4),2,GEN_ED,,2,2
BSIS,IS-PMQ 313,PROJECT MANAGEMENT AND QUALITY SYSTEMS,3,TECH_SKILL,,3,1
BSIS,IS-SII 313,SYSTEM INFRASTRUCTURE AND INTEGRATION,3,TECH_SKILL,,3,1
BSIS,DM FM 313,FINANCIAL MANAGEMENT,3,GEN_ED,,3,1
BSIS,GE-FIL 313,KONTEKSTWALISADONG KOMUNIKASYON SA FILIPINO (KOKOFIL),3,GEN_ED,,3,1
BSIS,HE-HUM 313,ART APPRECIATION,3,GEN_ED,,3,1
BSIS,AD-CSS 313,COMPUTER SYSTEMS SERVICING,3,TECH_SKILL,,3,1
BSIS,QUA-QM 313,QUANTITATIVE METHODS,3,CAP_OJT,,3,1
BSIS,IS-ISP 323,INFORMATION SYSTEMS PLANNING,3,TECH_SKILL,,3,2
BSIS,IS-SAD 323,SYSTEM ANALYSIS AND DESIGN,3,TECH_SKILL,,3,2
BSIS,AD-BA 323,BUSINESS ANALYTICS,3,TECH_SKILL,,3,2
BSIS,DM-BP 323,BUSINESS POLICY,3,TECH_SKILL,,3,2
BSIS,DM-EBP 323,EVALUATION OF BUSINESS PERFORMANCE,3,TECH_SKILL,,3,2
BSIS,GE-RPH 323,READINGS IN PHILIPPINE HISTORY (WITH INTEGRATION OF INDIGENOUS PEOPLE EDUCATION),3,GEN_ED,,3,2
BSIS,GE-FIL 323,FILIPINO SA IBA'T-IBANG DISIPLINA (FILIPDIS),3,GEN_ED,,3,2
BSIS,OJT 416,INTERNSHIP/OJT/PRACTICUM (500 HOURS),6,CAP_OJT,,4,1
BSIS,IS-CAP1 413,CAPSTONE PROJECT 1,3,CAP_OJT,,4,1
BSIS,IS-CAP2 423,CAPSTONE PROJECT 2,3,CAP_OJT,,4,2
BSIS,AD-CRM 423,CUSTOMER RELATIONSHIP MANAGEMENT,3,TECH_SKILL,,4,2
