PROGRAM,CODE,COURSE,UNIT,TYPE,PREREQUISITE,LEVEL,SEMESTER
"ACT,BSIS",CC-IC113,"INTRODUCTION TO COMPUTING",3,TECH_SKILL,,1,1
"ACT,BSIS",CC-CP1113,"COMPUTER PROGRAMMING 1 (FUNDAMENTALS OF PROGRAMMING)",3,TECH_SKILL,,1,1
"ACT,BSIS",IS-PQS113,"PROFESSIONAL ETHICS, QUALITY CONCIOUSNESS AND SOCIAL ISSUES IN COMPUTING",3,TECH_SKILL,,1,1
"ACT,BSIS",GE-MMW113,"MATHEMATICS IN THE MODERN WORLD",3,GEN_ED,,1,1
"ACT,BSIS",GE-PCOM113,"PURPOSIVE COMMUNICATION",3,GEN_ED,,1,1
"ACT,BSIS",GE-UNO113,"UNDERSTANDING ONESELF",3,GEN_ED,,1,1
"ACT,BSAIS,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",PE112,"PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1)",2,GEN_ED,,1,1
"ACT,BSAIS,BSCA,BSIS,BSOM,BTVTEd-FSM,BTVTEd-IAET,BTVTEd-IAWT",NSTP113,"NATIONAL SERVICE TRAINING PROGRAM 1",3,GEN_ED,,1,1
"ACT,BSIS",IS-FIS123,"FUNDAMENTALS OF INFORMATION SYSTEMS",3,TECH_SKILL,,1,2
"ACT,BSIS",CC-CP2123,"COMPUTER PROGRAMMING 2 (INTERMEDIATE PROGRAMMING)",3,TECH_SKILL,,1,2
"ACT,BSIS",CT-OOP123,"OBJECT ORIENTED PROGRAMMING",3,TECH_SKILL,,1,2
"ACT,BSIS",AD-HCI123,"HUMAN COMPUTER INTERACTION",3,TECH_SKILL,,1,2
"ACT,BSIS",CT-WD123,"WEB DEVELOPMENT",3,TECH_SKILL,,1,2
"ACT,BSIS",GE-TCW123,"THE CONTEMPORARY WORLD",3,GEN_ED,,1,2
"ACT,BSAIS,BSIS,BSOM,BTVTEd-IAWT",PE122,"PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2)",2,GEN_ED,,1,2
